INDEX,URI_1,URI_2,per_from_org_name_0|null,per_from_org_name_0|sqrt,per_from_org_name_1|null,per_from_org_name_1|sqrt,per_from_org_name_2|null,per_from_org_name_2|sqrt,per_from_org_uri_0|null,per_from_org_uri_0|sqrt,per_from_org_uri_1|null,per_from_org_uri_1|sqrt,per_from_org_uri_2|null,per_from_org_uri_2|sqrt,per_name_0|null,per_name_0|sqrt,per_name_1|null,per_name_1|sqrt,per_name_2|null,per_name_2|sqrt,per_participated_event_uri_0|null,per_participated_event_uri_0|sqrt,per_participated_event_uri_1|null,per_participated_event_uri_1|sqrt,per_participated_event_uri_2|null,per_participated_event_uri_2|sqrt,per_published_work_uri_0|null,per_published_work_uri_0|sqrt,per_published_work_uri_1|null,per_published_work_uri_1|sqrt,per_published_work_uri_2|null,per_published_work_uri_2|sqrt,per_role_at_event_uri_0|null,per_role_at_event_uri_0|sqrt,per_role_at_event_uri_1|null,per_role_at_event_uri_1|sqrt,per_role_at_event_uri_2|null,per_role_at_event_uri_2|sqrt,per_published_work_coauthor_0|null,per_published_work_coauthor_0|sqrt,per_published_work_coauthor_1|null,per_published_work_coauthor_1|sqrt,per_published_work_coauthor_2|null,per_published_work_coauthor_2|sqrt,per_published_work_bow_0|null,per_published_work_bow_0|sqrt,per_published_work_bow_1|null,per_published_work_bow_1|sqrt,TRUTH
46,https://w3id.org/scholarlydata/person/alasdair-j-g-gray,https://w3id.org/scholarlydata/person/alasdair-gray,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333,0.5773502692,1,1,1,1,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
47,https://w3id.org/scholarlydata/person/daniel-herzig,https://w3id.org/scholarlydata/person/danielm-herzig,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
48,https://w3id.org/scholarlydata/person/daniel-herzig,https://w3id.org/scholarlydata/person/danielm-herzig,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
49,https://w3id.org/scholarlydata/person/danielm-herzig,https://w3id.org/scholarlydata/person/daniel-herzig,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
50,https://w3id.org/scholarlydata/person/danielm-herzig,https://w3id.org/scholarlydata/person/daniel-herzig,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
51,https://w3id.org/scholarlydata/person/eero-hyvoenen,https://w3id.org/scholarlydata/person/eero-hyvonen,0.2666666667,0.5163977795,0.8,0.894427191,1,1,0.1818181818,0.4264014327,0.5,0.7071067812,1,1,0.5,0.7071067812,0.5,0.7071067812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909,0.3015113446,0.3076923077,0.5547001962,1,1,0.2296672828,0.4792361451,2.7158469945,1.6479827046,1
52,https://w3id.org/scholarlydata/person/eero-hyvonen,https://w3id.org/scholarlydata/person/eero-hyvoenen,0.2666666667,0.5163977795,0.8,0.894427191,1,1,0.1818181818,0.4264014327,0.5,0.7071067812,1,1,0.5,0.7071067812,0.5,0.7071067812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909,0.3015113446,0.3076923077,0.5547001962,1,1,0.0475970425,0.2181674644,0.5628415301,0.7502276522,1
53,https://w3id.org/scholarlydata/person/robert-jaeschke,https://w3id.org/scholarlydata/person/robert-jaschke,0.8333333333,0.9128709292,1,1,1,1,0.5,0.7071067812,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,1
54,https://w3id.org/scholarlydata/person/robert-jaschke,https://w3id.org/scholarlydata/person/robert-jaeschke,0.8333333333,0.9128709292,1,1,1,1,0.5,0.7071067812,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,1
55,https://w3id.org/scholarlydata/person/makoto-p-kato,https://w3id.org/scholarlydata/person/makotop-kato,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,1
